1271,785
898,1934
2593,148
2323,2775
621,2947
2427,4417
1143,3871
868,2015
1108,1723
2522,2526
2034,3445
480,176
575,3096
2420,3921
339,3611
2366,2894
2942,1094
2231,1668
1105,215
2447,2175
1074,1903
1949,1057
1245,1525
906,1223
73,1774
2889,1467
2334,3099
2152,3198
675,510
2267,3054
2103,3582
1682,3825
2868,4743
930,67
1951,3438
2540,3496
66,4623
2580,2158
525,244
2021,3750
2614,3808
254,2936
2146,1037
1999,2372
437,1740
2428,2898
2920,2396
392,3220
964,690
558,488
2561,3642
2470,2693
2497,3056
387,980
1102,2963
1633,1283
843,534
1944,4085
1023,947
2421,2278
524,191
276,3574
2657,1008
1268,3319
2019,1942
2225,686
1973,329
1933,2954
2408,3386
2365,2389
422,2870
2481,3601
1235,2748
1036,4348
219,1678
574,1158
435,2669
1164,8
254,3208
938,948
488,1825
640,281
2658,354
991,1741
1973,820
344,2109
2339,4102
2472,289
294,3009
498,887
1477,2579
1234,3220
2126,1565
2144,641
2483,4353
1342,1061
301,3266
2536,1151
1138,1864
1313,2956
944,815
572,2286
815,1227
2662,473
652,2458
2116,834
2593,1399
1176,3723
341,3466
1908,4002
2337,3019
1184,739
252,2185
794,324
1137,2360
2416,419
1862,2332
307,1225
2309,3516
804,2145
219,3304
1195,3254
196,1538
1977,37
276,993
915,100
2394,4045
659,1571
1183,2075
1010,2185
1750,4203
1236,1011
331,3870
586,2776
1247,3165
426,3211
163,648
50,1576
42,2236
2468,3115
1239,3027
1759,4244
2471,3659
669,1636
517,2428
1901,661
2486,1675
396,1672
2517,4442
1996,497
1194,3528
84,3220
2332,1626
2603,960
2565,372
1420,3224
1240,862
1381,3145
2406,2628
511,447
2077,926
1081,1040
2091,658
1218,536
2504,3704
396,642
2319,3843
361,439
1138,2477
2065,773
256,386
555,2233
2316,1881
2024,3047
1330,103
2371,1766
2711,795
265,1752
2292,1277
1679,3916
194,1304
1502,2826
399,1224
2079,3053
519,727
1966,680
582,3448
1058,1651
750,2377
2389,3675
1507,3440
1934,2463
1171,1785
1093,1130
2437,2767
230,645
1240,2391
940,761
532,1568
1104,3734
202,2076
903,3682
2126,2166
2044,1979
2520,2764
329,2593
391,2857
398,850
2886,4292
2258,4024
2094,3491
2213,4005
1159,4062
1387,3632
2791,132
1185,1074
1010,2544
2367,2459
2533,2689
1154,646
895,3821
387,3991
2011,565
2408,2961
886,1845
1011,2872
1201,314
16,4476
836,1361
1027,1752
965,304
1872,3732
588,3545
664,3328
929,1146
867,4231
2960,513
2577,1345
2305,1503
1551,3750
573,3131
2154,16
2520,1210
2519,3786
2124,3020
2250,696
170,734
673,1468
1931,2138
858,1532
2111,3140
1686,3991
1383,3443
2395,1607
278,1256
411,2987
1341,1992
348,2244
1204,3880
463,4458
923,262
2061,1280
2398,2002
2475,2931
29,1278
1966,2016
206,2398
1947,537
1124,4156
260,1156
1086,187
346,734
915,364
1216,2970
1098,3872
430,1486
291,4165
2465,2613
233,2738
1193,1362
2827,2574
2175,1413
2464,1345
2669,3304
2698,146
1897,3688
387,451
928,1371
443,375
2080,20
1934,3946
2365,541
1813,568
1216,2635
111,2680
2343,4144
1051,2068
2369,3713
2536,3946
2320,3876
280,3829
2146,3473
2481,3932
1573,819
2506,1417
738,1442
2466,18
2578,1517
2079,88
2446,874
1825,131
905,1130
1457,4149
2425,3473
798,1023
2007,357
240,2902
1205,3404
354,2954
2478,3803
1195,2410
946,3326
1609,3859
929,3296
2595,3701
1473,3510
1051,1788
2417,3816
1226,954
107,300
1702,1968
2514,221
1310,3394
2338,2944
2526,1278
1009,1929
2097,3335
372,3522
1891,1224
602,364
660,1606
117,15
2822,1898
240,234
2278,2979
1403,716
2073,1343
1174,59
2426,393
2530,1486
1269,1418
830,1780
1149,812
65,637
2055,496
942,1882
1059,2320
595,2990
237,1822
1368,517
2511,1928
448,1398
1172,518
171,395
362,322
